Price,Mileage,Model_Year,S,SEL,SES,ST,Sedan,NEW LISTING,REDUCED,Certified
15245,38069,3,0,0,0,0,0,1,0,0
8995,37738,0,0,0,0,0,0,0,0,0
11558,25072,2,1,0,0,0,1,0,0,0
12888,12508,3,0,0,0,0,0,0,0,0
14998,39052,3,0,0,0,0,0,1,0,0
9995,49696,0,0,0,0,0,1,0,0,0
10692,34814,0,0,0,0,0,1,0,1,0
13599,14127,2,0,0,0,0,0,1,0,0
9990,58590,2,0,0,0,0,0,1,0,0
10000,74563,0,0,0,1,0,0,1,0,0
12986,674,4,0,0,0,0,1,0,1,0
12991,14481,2,0,0,0,0,1,0,0,1
9995,43644,0,0,0,0,0,1,0,0,0
9999,18655,2,1,0,0,0,1,0,0,0
11711,26156,2,1,0,0,0,1,0,0,1
12599,26966,2,0,0,0,0,0,0,0,0
12695,11659,3,1,0,0,0,1,0,0,0
13388,11502,3,0,0,0,0,1,1,0,0
13599,18924,2,0,0,0,0,1,0,1,0
9995,60462,0,0,1,0,0,1,0,0,0
9995,53418,2,0,0,0,0,0,0,0,0
10100,55809,1,0,0,0,0,0,0,0,0
10100,45425,2,0,0,0,0,0,0,0,0
11599,53206,0,0,0,0,0,0,0,1,0
11995,38030,2,0,0,0,0,1,0,0,0
10980,30226,2,0,0,0,0,0,1,0,0
10987,19650,1,1,0,0,0,1,0,0,0
10991,57806,1,0,0,1,0,0,1,0,0
10995,69944,0,0,0,0,0,0,1,0,0
10995,23696,0,0,0,0,0,0,0,0,0
10999,15640,2,0,0,0,0,1,0,0,0
11253,24955,0,0,0,0,0,0,0,0,1
11425,51237,1,0,0,0,0,1,1,0,0
11450,15358,2,0,0,0,0,0,0,1,0
11497,14863,2,0,0,0,0,1,0,0,0
11500,36479,0,0,0,0,0,0,0,1,0
11710,7787,2,0,0,0,0,1,0,0,0
11850,11958,1,0,0,0,0,0,0,0,0
11888,23762,0,0,1,0,0,1,0,0,0
11893,3300,2,0,0,0,0,1,0,1,1
11900,23998,1,0,0,0,0,1,0,0,0
11971,12108,2,0,0,0,0,1,0,0,0
11981,17715,2,0,0,0,0,1,0,0,0
11988,6627,3,0,0,0,0,1,0,1,0
11989,18449,2,0,0,0,0,1,0,1,0
11990,37340,3,0,0,0,0,0,1,0,0
