Price,Mileage,Model_Year - 2001,S,CE,L,LE,XLE,XRS,NEW LISTING,Automatic,Manual,Certified,REDUCED
16998,28275,12,0,0,0,1,0,0,1,1,0,1,0
14989,36590,10,0,0,0,1,0,0,0,1,0,1,0
17895,17650,12,0,0,0,0,0,0,0,1,0,1,0
14978,43001,11,0,0,0,1,0,0,0,1,0,1,0
15499,31296,11,0,0,0,1,0,0,0,1,0,1,0
14988,58740,12,0,0,0,1,0,0,0,1,0,1,0
15365,52784,12,0,0,0,1,0,0,0,1,0,1,0
15562,53939,12,0,0,1,0,0,0,0,1,0,1,0
15753,24376,12,0,0,0,1,0,0,0,1,0,1,1
16499,51534,12,0,0,0,1,0,0,0,1,0,1,0
17970,33000,13,0,0,0,1,0,0,0,1,0,1,0
18495,19848,13,0,0,0,1,0,0,0,1,0,1,0
19437,20946,13,1,0,0,0,0,0,0,1,0,1,0
19988,37913,13,0,0,0,1,0,0,1,1,0,1,0
14485,39752,12,0,0,0,1,0,0,0,1,0,1,1
14997,35675,12,0,0,0,1,0,0,0,1,0,1,1
15356,39383,12,0,0,0,1,0,0,0,1,0,1,1
16395,34474,12,0,0,0,1,0,0,0,1,0,1,0
16681,26854,12,0,0,0,0,0,0,0,1,0,0,0
14988,47758,9,0,0,0,0,0,0,0,1,0,0,0
15998,29584,11,0,0,0,0,0,0,0,1,0,1,0
17539,8710,13,0,0,0,0,0,0,0,0,1,0,0
17988,33306,13,0,0,0,1,0,0,0,1,0,1,0
13998,63931,9,0,0,0,0,0,0,0,1,0,1,0
14588,33116,11,1,0,0,0,0,0,0,1,0,0,0
15795,17713,12,0,0,1,0,0,0,1,1,0,0,0
15914,16741,12,0,0,0,1,0,0,1,1,0,0,0
15977,3915,14,0,0,0,1,0,0,1,1,0,0,0
15991,2624,14,0,0,0,1,0,0,1,1,0,1,0
16000,8808,13,1,0,0,0,0,0,0,1,0,0,0
16343,19152,12,0,0,0,1,0,0,1,1,0,0,0
16400,5560,11,1,0,0,0,0,0,1,1,0,1,0
16500,25713,10,1,0,0,0,0,0,0,1,0,0,0
16789,19940,12,1,0,0,0,0,0,1,1,0,0,0
16798,18393,12,0,0,0,1,0,0,1,1,0,0,0
16900,26123,11,1,0,0,0,0,0,1,1,0,1,0
16989,4932,12,1,0,0,0,0,0,1,1,0,0,0
16995,9624,12,0,0,0,1,0,0,1,0,0,0,0
16995,14828,12,0,0,1,0,0,0,1,1,0,0,0
18640,8300,13,0,0,0,1,0,0,1,1,0,1,0
18995,10801,12,0,0,0,1,0,0,1,1,0,1,0
19500,1373,14,0,0,0,0,0,0,1,0,0,0,0
19988,4879,14,0,0,0,0,0,0,1,1,0,1,0
20145,3009,14,0,0,0,0,0,0,1,1,0,0,0
4995,170663,2,0,1,0,0,0,0,1,1,0,0,0
5850,137244,2,0,1,0,0,0,0,1,1,0,0,0
6921,122247,5,0,0,0,1,0,0,1,1,0,0,0
8000,122318,5,0,0,0,0,0,0,1,1,0,0,0
9589,90138,6,0,0,0,1,0,0,1,1,0,0,0
9988,117864,4,0,0,0,0,0,0,1,0,0,0,0
10899,63940,9,0,0,0,1,0,0,1,1,0,0,0
11500,64496,9,1,0,0,0,0,0,1,1,0,0,0
11981,60782,9,0,0,0,1,0,0,1,1,0,0,0
11981,77035,8,0,0,0,0,1,0,1,1,0,1,0
12541,54749,10,0,0,0,1,0,0,1,1,0,0,0
12988,57751,10,0,0,1,0,0,0,1,1,0,0,0
13435,51183,10,1,0,0,0,0,0,1,0,0,0,0
13450,68556,9,0,0,0,0,0,0,1,1,0,0,0
13500,41826,11,0,0,0,1,0,0,1,1,0,0,0
13500,38881,11,0,0,0,1,0,0,1,1,0,0,0
13521,35747,11,0,0,0,1,0,0,1,1,0,0,0
13777,32838,11,1,0,0,0,0,0,1,1,0,1,0
