Price,Mileage,Model_Year,Model,Brand
15245,38069,3,New Listing,Ford
8995,37738,0,,Ford
11558,25072,2,S,Ford
12888,12508,3,,Ford
14998,39052,3,New Listing,Ford
9995,49696,0,Sedan,Ford
10692,34814,0,Sedan,Ford
13599,14127,2,New Listing,Ford
9990,58590,2,New Listing,Ford
10000,74563,0,SES,Ford
12986,674,4,Sedan,Ford
12991,14481,2,Sedan,Ford
9995,43644,0,Sedan,Ford
9999,18655,2,Sedan,Ford
11711,26156,2,Sedan,Ford
12599,26966,2,,Ford
12695,11659,3,Sedan,Ford
13388,11502,3,Sedan,Ford
13599,18924,2,Sedan,Ford
9995,60462,0,SEL,Ford
9995,53418,2,,Ford
10100,55809,1,,Ford
10100,45425,2,,Ford
11599,53206,0,,Ford
11995,38030,2,Sedan,Ford
10980,30226,2,New Listing,Ford
10987,19650,1,Sedan,Ford
10991,57806,1,SES,Ford
10995,69944,0,New Listing,Ford
10995,23696,0,,Ford
10999,15640,2,Sedan,Ford
11253,24955,0,,Ford
11425,51237,1,Sedan,Ford
11450,15358,2,,Ford
11497,14863,2,Sedan,Ford
11500,36479,0,,Ford
11710,7787,2,Sedan,Ford
11850,11958,1,,Ford
11888,23762,0,SEL,Ford
11893,3300,2,Sedan,Ford
11900,23998,1,Sedan,Ford
11971,12108,2,Sedan,Ford
11981,17715,2,Sedan,Ford
11988,6627,3,Sedan,Ford
11989,18449,2,Sedan,Ford
11990,37340,3,New Listing,Ford
11997,28862,3,Sedan,Ford
11999,37692,0,Sedan,Ford
12000,22561,0,SEL,Ford
12000,13465,2,,Ford
12000,19946,2,Sedan,Ford
12000,46418,1,New Listing,Ford
12259,7623,3,Sedan,Ford
12349,63974,0,SEL,Ford
12367,52201,2,New Listing,Ford
12500,28264,1,SES,Ford
12501,26919,0,SES,Ford
12507,53043,1,New Listing,Ford
12598,19593,2,Sedan,Ford
12689,17900,2,Sedan,Ford
12750,23902,0,,Ford
12812,13584,2,,Ford
12917,16968,2,Sedan,Ford
12931,28154,1,,Ford
12971,16804,2,Sedan,Ford
12975,33168,0,Sedan,Ford
12977,20369,0,SES,Ford
12980,1377,4,S,Ford
12980,12451,2,Sedan,Ford
12986,674,4,Sedan,Ford
12986,19139,3,New Listing,Ford
12989,18405,2,Sedan,Ford
12990,17560,1,Sedan,Ford
12991,14481,2,Sedan,Ford
12995,15068,2,Sedan,Ford
12995,49094,2,Sedan,Ford
13000,7619,3,S,Ford
13000,7619,2,,Ford
13000,39298,0,,Ford
13035,17191,2,Sedan,Ford
13126,12212,1,Sedan,Ford
13395,14716,1,SEL,Ford
13499,17101,2,Sedan,Ford
13500,34312,3,Sedan,Ford
13541,19029,2,,Ford
13592,14541,2,Sedan,Ford
13614,6478,3,,Ford
13785,6911,3,Sedan,Ford
13855,11475,2,Sedan,Ford
13977,11014,2,Sedan,Ford
13980,6618,3,,Ford
13990,20263,1,Sedan,Ford
13990,7133,2,,Ford
13991,40526,3,New Listing,Ford
13995,38790,3,Sedan,Ford
14081,7094,3,,Ford
14153,6135,3,Sedan,Ford
14423,7859,2,Sedan,Ford
14444,5090,2,,Ford
14800,6516,4,Sedan,Ford
14930,6401,3,S,Ford
14995,500,4,,Ford
14999,5165,3,,Ford
15000,8729,3,,Ford
15007,18782,2,Sedan,Ford
15483,1740,3,,Ford
15991,18002,4,New Listing,Ford
15998,9466,3,New Listing,Ford
15999,4999,3,,Ford
16000,2471,4,,Ford
16492,7222,3,Sedan,Ford
16674,24554,3,New Listing,Ford
16688,5482,3,,Ford
16888,4539,3,,Ford
16990,1395,3,,Ford
17666,1903,4,,Ford
18000,6490,4,New Listing,Ford
18497,19854,3,ST,Ford
